oid,otype,morph_type,rvz_redshift,B,V,u_,g_,r_,i_,z_
2107333,Sy2,Sb,0.104,19.66,18.86,19.16,17.387,16.482,15.976,15.592
1675857,Sy1,Irr,0.03294,17.67,17.21,17.764,16.123,15.484,15.157,14.905
1851052,Sy2,Sc,0.10779,19.35,18.66,18.59,17.044,16.169,15.717,15.366
2305430,Sy2,Sb,0.1248,19.24,18.49,18.875,17.209,16.306,15.861,15.57
2663744,Sy2,Sb,0.04364,20.13,19.33,19.34,17.174,16.261,15.811,15.328
442495,Sy2,Sd,0.05995,19.85,19.05,19.1,17.382,16.496,15.998,15.58
1362895,Sy2,E/S0,0.03168,17.12,16.51,16.698,15.168,14.45,14.073,13.797
12323,Sy2,SB0,0.012082,14.89,13.96,15.677,14.145,13.169,12.741,12.358
509455,Sy2,Sa,0.123,19.76,19,19.25,17.688,16.803,16.384,16.031
490659,Sy2,4,0.04671,18.12,17.34,17.311,15.362,14.522,14.08,13.731
1388846,Sy2,S,0.068,19.08,18.44,18.104,16.829,16.281,15.936,15.712
444172,Sy2,S,0.06145,18.85,18.28,18.03,16.705,16.123,15.778,15.545
443566,Sy2,Sa,0.095,18.71,17.93,19.139,17.216,16.246,15.758,15.341
1375621,Sy1,-1,0.04296,15.9,15.5,15.44,14.322,13.594,13.237,12.976
634324,Sy2,Sa,0.083,19.05,18.23,19.29,17.337,16.351,15.831,15.434
492121,Sy2,Sb,0.09816,19.8,18.97,19.07,17.314,16.311,15.772,15.347
492132,Sy2,Sb,0.08307,19.14,18.47,18.58,17.021,16.272,15.805,15.499
508877,Sy2,Sb,0.045,19.3,18.53,18.61,16.833,15.935,15.478,15.137
665173,Sy2,Sb,0.072,20.26,19.42,19.36,17.513,16.446,15.836,15.413
340354,Sy2,Sb,0.05524,18.94,18.2,18.33,16.469,15.51,14.94,14.497
492128,Sy2,Scd,0.04697,20.05,19.21,19.75,17.478,16.452,15.878,15.437
512356,Sy2,Sc,0.054,19.37,18.72,18.263,16.71,15.926,15.521,15.208
493605,Sy2,S,0.07195,19.55,18.78,18.465,16.945,16.235,15.809,15.52
490069,Sy2,Sb,0.042,19.47,18.72,18.77,16.909,16.014,15.506,15.142
490648,Sy2,Sb,0.067,20.33,19.59,19.64,17.954,17.156,16.659,16.321
