<html><head>
<meta http-equiv="content-type" content="text/html; charset=UTF-8"></head><body>oid,otype,morph_type,morph_qual
1111527,"Sy1",,
1640878,"Sy1",,
11141032,"Sy1",,
11143761,"Sy1",,
12282749,"Sy2","Irr",D
2273290,"Sy1","7",D
2008990,"Sy2",,
2137093,"Sy2",,
11181921,"Sy1",,
1333800,"Sy1",,
2633770,"Sy2",,
4108071,"Sy1",,
11059881,"Sy2",,
1824902,"Sy1",,
1369375,"Sy2","Sb",D
5319369,"Sy2",,
1660837,"Sy2",,
2006294,"Sy2",,
2648171,"Sy2",,
2835915,"Sy2",,
1366688,"Sy2",,
488853,"Sy1",,
489445,"Sy2",,
4108077,"Sy1",,
489300,"Sy1",,
1389633,"Sy1",,
12300404,"Sy1",,
1369184,"Sy1",,
2742709,"Sy1",,
2257986,"Sy2","Sc",D
1888546,"Sy2",,
9237062,"Sy1",,
4909070,"Sy1",,
465795,"Sy2",,
1962913,"Sy1",,
1137892,"Sy2","S0-Sa",D
465794,"Sy1",,
465189,"Sy1",,
2275858,"Sy2",,
1607373,"Sy2","S0-Sa",D
2119464,"Sy1",,
1452169,"Sy1",,
1037900,"Sy2",,
1337889,"Sy1",,
2651663,"Sy1",,
465316,"Sy2",,
465195,"Sy1",,
465306,"Sy2",,
964385,"Sy2","-2.0",D
1936424,"Sy2","SAB_x",C
2779565,"Sy1",,
465194,"Sy1",,
507035,"Sy1",,
1804938,"Sy2","S0a",D
1369998,"Sy1",,
506530,"Sy1",,
1377520,"Sy1",,
1394577,"Sy2","S0",D
1191420,"Sy1",,
1371979,"Sy1",,
12338961,"Sy2",,
1154414,"Sy1",,
12276539,"Sy2",,
11532040,"Sy1",,
5406749,"Sy1",,
9238674,"Sy1",,
2249612,"Sy1",,
13175804,"Sy1",,
1377957,"Sy1",,
315365,"Sy1",,
494042,"Sy1",,
540527,"Sy1",,
4110433,"Sy1",,
540346,"Sy1",,
1001361,"Sy2",,
1002037,"Sy1",,
1002128,"Sy2",,
1934357,"Sy1",,
10978921,"Sy2",,
1397843,"Sy1",,
5319640,"Sy2",,
464868,"Sy1",,
1154406,"Sy1",,
5153981,"Sy1",,
6296991,"Sy1",,
8990405,"Sy1",,
8990409,"Sy1",,
2910424,"Sy2",,
2128491,"Sy1",,
9551615,"Sy1",,
4172465,"Sy1",,
9520941,"Sy1",,
2107328,"Sy2",,
2289555,"Sy2",,
358766,"Sy2",,
633992,"Sy2",,
1827251,"Sy1",,
2266050,"Sy2",,
5313212,"Sy1",,
8268116,"Sy1",,
1330606,"Sy2",,
5319222,"Sy2",,
5319269,"Sy2",,
1673235,"Sy2",,
5319722,"Sy2",,
4108098,"Sy1",,
7842213,"Sy1",,
1961129,"Sy1",,
10584448,"Sy1",,
5971294,"Sy1",,
5319439,"Sy2",,
463893,"Sy2",,
11530412,"Sy1",,
12295556,"Sy1",,
6297013,"Sy1",,
2049656,"Sy2","S0",D
703331,"Sy2",,
1389547,"Sy1",,
1213908,"Sy1",,
1217357,"Sy1",,
12254176,"Sy2",,
12258429,"Sy2",,
12263292,"Sy2",,
1432046,"Sy2","SB",C
1338706,"Sy1",,
2679370,"Sy1",,
2269570,"Sy1","?...",D
5406684,"Sy1",,
2295553,"Sy1","E",D
12267646,"Sy2",,
465672,"Sy1",,
12281474,"Sy2",,
11029267,"Sy2",,
465784,"Sy2",,
12298334,"Sy2","Sab",E
4064116,"Sy2","Sc",D
1961116,"Sy2",,
1991823,"Sy1",,
1960720,"Sy1",,
603386,"Sy1",,
465197,"Sy1",,
7841699,"Sy1",,
465298,"Sy1",,
1237417,"Sy1",,
12330316,"Sy2",,
1991136,"Sy1",,
465190,"Sy1",,
450055,"Sy2",,
7841628,"Sy1",,
2105011,"Sy2",,
7841815,"Sy1",,
464432,"Sy2",,
464299,"Sy1",,
1397108,"Sy1","SBb",D
1395053,"Sy1",,
1375291,"Sy1",,
7840702,"Sy1",,
1338761,"Sy1",,
1339188,"Sy1",,
4110673,"Sy1",,
11028214,"Sy2",,
4110685,"Sy1",,
642124,"Sy1",,
663835,"Sy1",,
664257,"Sy1",,
469039,"Sy1",,
4909236,"Sy1",,
5391193,"Sy1",,
1105526,"Sy1",,
1122652,"Sy1",,
1619442,"Sy1",,
1619445,"Sy1",,
10584546,"Sy1",,
1633097,"Sy1",,
1632292,"Sy1",,
12296388,"Sy2",,
463914,"Sy1",,
5395075,"Sy1",,
1644866,"Sy1",,
1645736,"Sy1",,
7841831,"Sy2",,
465619,"Sy1",,
1659428,"Sy1",,
1674419,"Sy1",,
464438,"Sy1",,
4172535,"Sy1",,
12253249,"Sy2",,
12297783,"Sy2",,
4128818,"Sy1",,
464439,"Sy1",,
1407584,"Sy1",,
1476041,"Sy1","SBab",D
8680810,"Sy1",,
1214962,"Sy1","S",D
1426980,"Sy1","Sa",D
787218,"Sy1",,
1025461,"Sy1",,
5407204,"Sy1",,
2235107,"Sy1",,
1973753,"Sy1","2.0",D
2285316,"Sy1","Sa/E",D
2632302,"Sy1",,
2664173,"Sy1",,
9901992,"Sy1",,
330433,"Sy1",,
2865072,"Sy1",,
8707502,"Sy2",,
4130994,"Sy1",,
8707536,"Sy1",,
5409699,"Sy1",,
773242,"Sy1",,
914751,"Sy2","E",D
545008,"Sy1",,
444670,"Sy1",,
4132821,"Sy1",,
5412048,"Sy1",,
2938586,"Sy2",,
5413328,"Sy1",,
454725,"Sy1",,
2833971,"Sy1",,
2895818,"Sy1",,
2837683,"Sy1",,
464303,"Sy1",,
4136117,"Sy1",,
4136143,"Sy1",,
2662911,"Sy1",,
4136419,"Sy1",,
1452177,"Sy1",,
1452127,"Sy1",,
482538,"Sy2",,
5229029,"Sy2",,
4165714,"Sy2","Sb:",D
482346,"Sy2",,
1320080,"Sy1",,
7841862,"Sy1",,
2248909,"Sy1",,
4172516,"Sy2",,
486792,"Sy1",,
1341281,"Sy1",,
1338326,"Sy1",,
1367105,"Sy1",,
7841841,"Sy1",,
1376498,"Sy1",,
1851057,"Sy2",,
1355142,"Sy1",,
1890664,"Sy2",,
1333774,"Sy1",,
1870268,"Sy2",,
8577679,"Sy2",,
2238472,"Sy2",,
1304643,"Sy2","Sbr",D
7841605,"Sy1",,
4495097,"Sy1",,
486794,"Sy1",,
2289557,"Sy2",,
1115050,"Sy2",,
1829800,"Sy2",,
1849063,"Sy2",,
12310507,"Sy2",,
487851,"Sy1",,
4173719,"Sy2",,
7841676,"Sy1",,
7841652,"Sy1",,
4495241,"Sy1",,
1607007,"Sy2",,
1606813,"Sy1",,
448304,"Sy2",,
308928,"Sy1",,
2797316,"Sy2","Sa",D
448265,"Sy1",,
1389598,"Sy1",,
1333811,"Sy1",,
1843933,"Sy2",,
7841784,"Sy1",,
7841856,"Sy1",,
1326841,"Sy1",,
4909104,"Sy1",,
463885,"Sy2",,
1372640,"Sy1",,
463887,"Sy1",,
463608,"Sy1",,
1372655,"Sy1",,
463376,"Sy1",,
2230687,"Sy1",,
12297462,"Sy1",,
463892,"Sy1",,
463032,"Sy2",,
1001347,"Sy2",,
463193,"Sy1",,
13176210,"Sy1",,
463385,"Sy1",,
1939381,"Sy2",,
8443945,"Sy1",,
7841717,"Sy1",,
7841704,"Sy1",,
1333776,"Sy1",,
7839679,"Sy1",,
1374694,"Sy1",,
7841725,"Sy1",,
1452132,"Sy1",,
462923,"Sy1",,
6297016,"Sy1",,
464440,"Sy2",,
10397622,"Sy1",,
1370271,"Sy1",,
463883,"Sy2",,
1317326,"Sy1",,
1318303,"Sy1",,
1320415,"Sy1",,
13207324,"Sy1",,
1320876,"Sy1",,
1374723,"Sy1",,
13216521,"Sy1",,
1849061,"Sy2",,
1998026,"Sy2",,
1328291,"Sy1",,
603507,"Sy1",,
10398040,"Sy1",,
13176532,"Sy1",,
582815,"Sy1",,
1717442,"Sy2","SBa",D
1750658,"Sy2",,
2758920,"Sy2",,
582828,"Sy1",,
3802082,"Sy1",,
491960,"Sy1",,
13190861,"Sy1",,
1412945,"Sy2",,
2048363,"Sy1",,
12296935,"Sy1",,
2104366,"Sy2",,
2104353,"Sy2",,
482695,"Sy2",,
2048813,"Sy1",,
2103566,"Sy1",,
