OType,ra,dec,rvz_redshift,rvz_radvel
Sy1,147.1385553,62.94822768,0.22,58840.4744
Sy1,192.9172987,16.41127178,0.12987,36424.59423
Sy1,148.091507,63.41084244,0.11976,33766.94523
Sy1,353.3830761,-30.25781605,0.181,49418.86498
Sy2,243.9676712,38.44219427,0.18543,50510.12116
Sy1,191.6170649,16.75636501,0.459,108151.0232
Sy1,147.513892,63.59771821,0.19009,51652.16483
Sy2,147.2656906,63.83155012,0.0752,21698.94699
Sy1,189.6618577,16.22675334,0.12147,34218.53133
Sy2,198.6188608,17.01670351,0.07491541,21620
Sy1,198.9090082,17.07486449,0.25229,66330.16723
Sy2,155.8833227,64.87784015,0.04,11752.0487
Sy1,157.5583881,65.47430043,0.29078,74901.42221
Sy1,39.6142322,1.907710343,0.024397,7224.842235
Sy1,28.28222625,0.217801811,0.33846,85001.038
Sy1,28.96931387,-0.65387911,0.42169,101333.4256
Sy1,152.9683505,61.00347106,0.10759,30528.55054
Sy1,36.42313188,-8.827822346,0.35385,88142.61612
Sy1,38.84221994,-7.407699368,0.35802,88984.12739
Sy1,45.43690297,-0.734900496,0.38332,94002.29436
Sy2,214.4696153,34.44317995,0.12767,35848.78121
Sy1,45.58525683,0.327086355,0.77291,155077.3856
Sy1,52.7460594,1.164470847,0.55694,124683.2201
Sy1,54.32839374,0.551059738,0.43656,104086.6091
Sy1,55.0317767,-0.775718912,0.65175,138971.5895
Sy1,120.3928365,47.3832431,0.368239,91029.00376
Sy1,155.0019201,62.66242219,0.13642,38130.71236
Sy1,121.8359596,14.82453925,0.2049,55241.99452
Sy1,129.4620965,34.94450173,0.78614,156703.5445
Sy1,134.0780921,33.58359471,0.40362,97922.1495
Sy1,140.4200326,4.212562163,0.37756,92872.90038
Sy1,140.4734976,3.614635954,0.35008,87378.27441
Sy1,197.0388784,18.60406227,0.18175,49603.9981
Sy1,142.9977629,4.294349982,0.56129,125374.1719
Sy1,143.3524602,8.66814908,0.54828,123297.0966
Sy2,196.5928269,18.62921448,0.08305,23867.16564
Sy1,157.1549107,63.04684314,0.08034,23120.70012
Sy1,144.6653678,24.91904167,0.3543,88233.62497
Sy1,144.7225034,8.340208643,0.7609,153579.6516
Sy1,145.50079,2.999542041,0.34754,86861.39847
Sy2,199.7098332,17.12940558,0.11382,32191.70104
Sy1,146.0431101,60.56012475,0.45665,107730.4094
Sy1,146.4188309,3.196374211,0.73997,150919.5664
Sy1,150.2355919,1.221959984,0.51861,118439.4823
Sy1,158.458055,63.30844979,0.15526,42969.7372
Sy1,216.2972656,33.34062778,0.25784,67589.73792
Sy2,119.3116772,20.43374325,0.10403,29573.10839
Sy2,199.3662687,6.703817925,0.16717,45976.88931
Sy1,203.4849276,31.56539496,0.51112,117186.123
Sy1,159.250109,63.75707188,0.15004,41639.10365
Sy1,21.88550723,19.17884419,0.01668,4958.839416
Sy1,28.85398023,2.47126575,0.082000062,23578.21831
Sy1,32.40586227,52.44435163,0.0492,14387.36221
Sy1,36.6071598,-28.34967835,0.06,17448.83585
Sy1,40.39530112,7.187181779,0.027,7985.160785
Sy1,79.08841081,-10.56150322,0.028930014,8547.595997
Sy2,100.3250578,32.82545413,0.049,14330.341
Sy1,120.864104,8.697860443,0.04674,13685.17342
Sy1,211.0298845,21.55601484,0.26107,68319.0826
Sy1,212.0211431,12.40584602,0.41054,99237.10449
Sy1,190.195682,-33.56995794,0.054988041,16032.40965
Sy1,221.4035269,27.03487958,0.02959,8739.670257
Sy1,227.2248095,-0.196945721,0.05427,15828.87319
Sy1,230.4152763,3.624788935,0.126,35410.75635
Sy1,232.4930465,-13.01105104,0.1039,29538.14874
Sy1,241.847343,85.0308336,0.183,49912.206
Sy1,260.8366494,34.29943538,0.205999,55505.98843
Sy2,275.3619006,59.92251778,0.099,28216.84226
Sy1,302.1953608,-61.09993945,0.015247215,4536.15648
Sy1,217.5802854,11.81262958,0.4862,112935.4702
Sy1,346.9885997,40.27752794,0.073,21088.03111
Sy1,223.8823673,23.27854924,0.44518,105660.6351
Sy1,76.69979219,-19.61412032,0.09,25771.65639
Sy2,99.13437898,-20.58143923,0.055198,16091.89579
Sy1,227.5086283,44.97956939,0.3509,87544.81148
Sy1,228.0035198,58.9547799,0.52078,118800.5423
Sy1,338.1284514,8.207226184,0.025745558,7619
Sy1,232.6449535,37.33695979,0.52465,119442.1726
Sy1,234.1100698,20.1235887,0.61089,133007.8995
Sy2,235.8819989,38.38020098,0.57983,128279.7456
Sy1,241.0254833,9.805519452,0.72209,148595.709
Sy1,241.0513146,45.80628983,0.36345,90073.75379
Sy1,242.4705651,29.54224323,0.42218,101424.9205
Sy1,253.5799536,36.15074019,0.45887,108127.7856
Sy1,255.0096203,31.17193498,0.4466,105918.3974
Sy1,159.19073,64.21860973,0.21766,58286.87454
Sy1,309.478878,-0.472672689,0.6334,136328.5426
Sy1,310.2224244,0.678358967,0.50224,115685.7518
Sy1,310.9168092,0.481509516,0.31655,80429.76092
Sy1,315.3124786,-0.530750251,0.51975,118629.2787
Sy1,9.186346657,16.14185997,0.46528,109269.3403
Sy1,9.186886265,16.12453414,0.51332,117555.4147
Sy2,189.102342,62.18659,0.7481,151960.4666
Sy2,189.149299,62.118735,0.952,175146.5071
Sy2,189.3164,62.203744,1.0213,181895.1428
Sy2,189.350892,62.23338,0.4741,110826.0439
Sy1,315.1970833,-6.920833333,0.34,85317.95664
Sy1,201.1428733,18.48149795,0.10922,30964.78252
Sy1,216.4300539,34.83135977,0.17856,48815.48269
Sy2,216.2749301,35.15761685,0.1921,52142.91062
Sy1,165.8916806,62.06919968,0.47029,110155.5775
Sy1,323.7920833,-6.436666667,0.24,63512.14747
Sy1,31.21833333,-9.538888889,0.29,74731.49332
Sy1,354.9591667,-0.199166667,0.26,68077.77412
Sy1,200.2539351,19.33664283,0.18175,49603.9981
Sy1,34.63666667,-0.689444444,0.25,65808.10054
Sy1,2.541583426,-4.710534837,0.029366983,8674.780672
Sy1,9.238243283,-10.13630327,0.1878,51091.69666
Sy2,218.1913052,35.19840942,0.1929,52337.9223
Sy2,4.933242868,-14.12190246,0.043027314,12622
Sy1,188.7151336,16.94232779,0.11749,33166.16457
Sy1,165.2643862,63.53978839,0.1291,36223.21809
Sy1,166.13203,63.75675075,0.21911,58630.09135
Sy2,218.7502127,36.0208688,0.0794,22861.27303
Sy1,162.5526411,62.88428769,0.20068,54225.22983
Sy2,217.4879117,35.51514917,0.2634,68843.51855
Sy1,192.0109145,18.26453825,0.15655,43297.38226
Sy1,190.6072497,18.21981384,0.16756,46074.685
Sy1,190.9478811,18.81572884,0.22231,59385.52843
Sy2,179.2065416,67.84918703,0.117,33036.28488
Sy2,251.1269627,24.27340208,0.03515,10352.61519
Sy1,174.746739,67.43804041,0.31295,79667.40596
Sy1,9.295850886,0.357730012,0.23515,62389.07703
Sy1,9.300031106,-9.935266596,0.40732,98626.5658
Sy2,175.3225513,20.83145145,0.02394,7091.146414
Sy1,197.0582119,16.24875042,0.26604,69436.02615
Sy1,200.8501645,20.0700355,0.28554,73756.88655
Sy1,358.7170833,-10.06638889,0.1,28487.06614
Sy1,210.6800199,35.18319209,0.2134,57275.2384
Sy2,163.0526594,65.93570416,0.116,32771.00846
Sy1,18.742188,-0.741496,0.183096667,49936.02287
Sy1,163.8812577,65.47851512,0.097,27675.51739
Sy1,164.4248736,65.59441775,0.01146,3415.936735
Sy1,19.607077,-0.705382,0.0482,14102.13706
