OType,ra,dec,rvz_redshift,rvz_radvel,plx_value,u_,g_,r_,i_,z_
Sy1,246.3581288,85.49491617,0.062914,18268.9304,,,,,,
Sy1,198.4540281,36.89944615,0.06683,19367.05454,0.2803,18.277,17.141,16.509,15.989,15.808
Sy1,205.3036816,-14.64451328,0.041752,12255.84962,,,,,,
Sy2,69.55912779,-10.79584552,0.036124992,10634.50628,0.2042,,,,,
Sy1,118.0743618,19.59507818,0.11701,33038.93618,,16.1159,15.9255,15.7157,15.1153,15.4658
Sy1,208.9730316,38.57463334,0.05018,14666.59394,0.2051,17.394,16.553,16.221,15.727,15.673
Sy1,327.4919589,-18.98994025,0.157605699,43565.16744,,,,,,
Sy1,91.45399244,-27.91110956,0.089228395,25560.91601,,,,,,
Sy1,109.5025286,44.0908649,0.063448205,18419,,,,,,
Sy1,324.4383166,-14.54880431,0.199928312,54043.60707,0.0321,,,,,
Sy1,207.3302508,-30.30950384,0.015558363,4628,,,,,,
Sy1,323.6880695,-27.43209142,0.0668,19358.65922,0.066,,,,,
Sy2,222.888083,-55.67731428,0.018,5347.705593,1.1763,,,,,
Sy1,72.93337088,-58.18341525,0.091,26044.51607,0.017,,,,,
Sy2,60.60693089,-18.04761003,0.02636,7798.409103,,,,,,
Sy2,238.4316312,23.8070695,0.11761,33197.96125,,18.065,16.271,15.327,14.9,14.566
Sy1,171.8179319,19.15556542,0.105499652,29967.98502,0.4706,17.2856,15.9951,15.2707,14.8277,14.6289
Sy1,289.8668511,-29.9689069,0.16681874,45888.77134,,,,,,
Sy2,197.2733038,11.63411803,0.02515,7444.996822,,15.855,13.985,13.132,12.69,12.341
Sy2,86.81201244,50.64040972,0.036,10598.38441,,,,,,
Sy1,195.022283,16.53743305,0.07993,23007.57778,,18.13,16.419,15.456,14.928,14.514
Sy2,71.1571157,-28.16512365,0.147,40860.6107,,,,,,
Sy2,86.09400601,59.12665096,0.0674,19526.51501,,,,,,
Sy2,121.1933502,10.77667128,0.03474,10233.99053,,16.427,14.654,13.769,13.282,12.927
Sy1,344.7304825,40.93234989,0.01669,4961.787334,,,,,,
Sy2,111.6097252,-35.90604033,0.029624,8749.561673,0.3609,,,,,
Sy2,152.450782,-42.81125846,0.032859,9689.119888,,,,,,
Sy2,90.65827805,65.3712421,0.017,5053.15793,,,,,,
Sy2,196.0597002,-10.3395279,0.010382036,3096.3,0.465,,,,,
Sy2,40.51590465,5.168384577,0.07106,20548.12754,,,,,,
Sy2,189.132751,62.295897,0.679,142793.6418,,,,22.9936,,21.4133
Sy2,189.9652857,34.97493524,0.04306,12631.37792,,16.541,14.89,14.128,13.757,13.461
Sy2,198.8219433,44.40711164,0.03552,10459.62361,6.2949,16.731,15.09,14.304,13.884,13.568
Sy2,69.9960208,-59.68160698,0.0577,16799.761,,,,,,
Sy2,160.0929708,-46.42401389,0.02379,7047.250134,,,,,,
