otype,ra,dec,rvz_redshift,rvz_radvel,plx_value,dist,unit
Sy1,276.0451044,18.76909182,0.07,20252.65848,0.4381,315.7,Mpc 
Sy2,330.5079042,-31.86988889,0.008626482,2575,,33.9,Mpc 
Sy2,330.5079042,-31.86988889,0.008626482,2575,,37.2,Mpc 
Sy2,330.5079042,-31.86988889,0.008626482,2575,,36.01,Mpc 
Sy2,149.8730988,-22.82631871,0.008039522,2400.5,,26.5,Mpc 
Sy2,149.8730988,-22.82631871,0.008039522,2400.5,,32.5,Mpc 
Sy2,149.8730988,-22.82631871,0.008039522,2400.5,,34.3,Mpc 
Sy2,149.8730988,-22.82631871,0.008039522,2400.5,,34.5,Mpc 
Sy1,145.5199517,23.68527168,0.0213,6317.588037,,91.8,Mpc 
Sy1,145.5199517,23.68527168,0.0213,6317.588037,,95.8,Mpc 
Sy2,109.1300259,-29.32468967,0.005554,1660.423546,,23.2,Mpc 
Sy2,109.1300259,-29.32468967,0.005554,1660.423546,,7344,pc  
Sy2,109.1300259,-29.32468967,0.005554,1660.423546,,22.59,Mpc 
Sy2,186.4450833,12.66206944,0.008424623,2515,,17.62,Mpc 
Sy2,186.4450833,12.66206944,0.008424623,2515,,17.378,Mpc 
Sy2,186.4450833,12.66206944,0.008424623,2515,,18.11,Mpc 
Sy2,186.4450833,12.66206944,0.008424623,2515,,18,Mpc 
Sy2,186.4450833,12.66206944,0.008424623,2515,,18.11,Mpc 
Sy2,186.4450833,12.66206944,0.008424623,2515,,38,Mpc 
Sy2,186.4450833,12.66206944,0.008424623,2515,,18.3,Mpc 
Sy2,186.4450833,12.66206944,0.008424623,2515,,36.3,Mpc 
Sy2,186.4450833,12.66206944,0.008424623,2515,,17,Mpc 
Sy2,186.4450833,12.66206944,0.008424623,2515,,16.8,Mpc 
Sy2,186.4450833,12.66206944,0.008424623,2515,,20.42,Mpc 
Sy2,186.4450833,12.66206944,0.008424623,2515,,20.75,Mpc 
Sy2,186.4450833,12.66206944,0.008424623,2515,,16.7,Mpc 
Sy2,346.2360134,12.32287705,0.007967227,2379,,32.4,Mpc 
Sy2,346.2360134,12.32287705,0.007967227,2379,,35,Mpc 
Sy2,346.2360134,12.32287705,0.007967227,2379,,30,Mpc 
Sy2,346.2360134,12.32287705,0.007967227,2379,,34.2,Mpc 
Sy2,346.2360134,12.32287705,0.007967227,2379,,31.1,Mpc 
Sy2,346.2360134,12.32287705,0.007967227,2379,,36.81,Mpc 
Sy2,346.2360134,12.32287705,0.007967227,2379,,36.81,Mpc 
Sy1,39.6142322,1.907710343,0.024397,7224.842235,0.0607,97.06,Mpc 
Sy1,32.40586227,52.44435163,0.0492,14387.36221,,215.8,Mpc 
Sy1,40.39530112,7.187181779,0.027,7985.160785,,116.4,Mpc 
Sy1,120.864104,8.697860443,0.04674,13685.17342,,208.5,Mpc 
Sy2,275.3619006,59.92251778,0.099,28216.84226,1.3186,455.4,Mpc 
Sy1,346.9885997,40.27752794,0.073,21088.03111,,329.9,Mpc 
Sy2,355.9981602,5.639897136,0.056,16319.00003,,250,Mpc 
Sy1,357.9705768,14.77911765,0.18153,49549.70859,1.7877,559.378,pc  
Sy2,13.37461195,-8.767753289,0.01898,5636.071719,,80,Mpc 
Sy2,242.4726725,13.52994731,0.03573,10520.33993,,161.44,Mpc 
